role,topic,difficulty,question,answer
Full Stack Engineer,Web Security,Hard,Explain CSRF and mitigation strategies.,"CSRF tricks authenticated users into unintended actions. Mitigation includes CSRF tokens, SameSite cookies, and verifying origin headers."
Full Stack Engineer,DevOps Basics,Medium,What is CI/CD and why is it important?,"CI/CD automates testing and deployment, reducing integration issues and enabling faster, reliable releases."
Full Stack Engineer,DevOps Basics,Hard,Why use Docker in development and production?,"Docker ensures environment consistency, simplifies dependency management, and improves deployment reliability."
Full Stack Engineer,API Design & Integration,Medium,What makes a good API design?,"Clear resource naming, proper HTTP methods, consistent response formats, versioning, and strong documentation."
Full Stack Engineer,API Design & Integration,Hard,How do you handle API versioning?,"Using URL versioning, header-based versioning, or semantic versioning to maintain backward compatibility."
Full Stack Engineer,Performance Optimization,Medium,How can you optimize frontend performance?,"By code splitting, lazy loading, caching assets, reducing bundle size, and minimizing re-renders."
Full Stack Engineer,Frontend Fundamentals,Medium,"In a large React application, how would you structure state to avoid prop drilling?","By lifting shared state to appropriate parent components, using Context for global concerns, or adopting centralized state management like Redux to avoid deeply nested prop passing."
Full Stack Engineer,Frontend Fundamentals,Hard,A React app feels slow after adding many components. How would you diagnose performance issues?,"I would use React DevTools profiler to analyze re-renders, check expensive computations, evaluate memoization usage, and inspect network and bundle size impacts."
Full Stack Engineer,Frontend Fundamentals,Medium,What is the difference between controlled and uncontrolled components?,"Controlled components manage form state via React state, while uncontrolled components rely on DOM references, making controlled components more predictable."
Full Stack Engineer,Frontend Fundamentals,Hard,How does code splitting improve frontend performance?,"Code splitting loads only required JavaScript chunks on demand, reducing initial bundle size and improving page load time."
Full Stack Engineer,Backend Development,Medium,How would you design a REST API for a resource with relationships?,"By using nested routes when appropriate, supporting filtering and pagination, and keeping endpoints resource-oriented while avoiding deep nesting."
Full Stack Engineer,Backend Development,Hard,How do you ensure idempotency in REST APIs?,By designing PUT and DELETE operations to produce the same result regardless of repeated calls and using idempotency keys when needed.
Full Stack Engineer,Backend Development,Medium,What is rate limiting and why is it important?,Rate limiting restricts the number of requests a client can make within a time frame to prevent abuse and ensure system stability.
Full Stack Engineer,Database Design,Medium,What is normalization and why is it important?,"Normalization organizes data to reduce redundancy and maintain integrity, improving consistency and reducing anomalies."
Full Stack Engineer,Database Design,Hard,When would you intentionally denormalize a database?,When optimizing for read-heavy workloads where performance gains outweigh redundancy concerns.
Full Stack Engineer,Database Design,Hard,How do you handle database migrations in production systems?,"Using version-controlled migration scripts, backward-compatible schema changes, and staged rollouts to avoid downtime."
Full Stack Engineer,System Design Basics,Medium,What is caching and where can it be applied in a full stack system?,"Caching stores frequently accessed data temporarily to reduce latency, applied at browser, CDN, server, or database levels."
Full Stack Engineer,System Design Basics,Hard,How would you design a system to handle sudden traffic spikes?,"By implementing auto-scaling, load balancing, caching layers, and using stateless services to scale horizontally."
Full Stack Engineer,System Design Basics,Medium,What is eventual consistency?,"Eventual consistency means data will become consistent across systems over time, commonly used in distributed systems."
Full Stack Engineer,Web Security,Medium,How should JWT tokens be securely stored on the client side?,Preferably in HTTP-only secure cookies to mitigate XSS risks rather than localStorage.
Full Stack Engineer,Web Security,Hard,What is OAuth and when would you use it?,OAuth is an authorization framework allowing third-party apps limited access to user resources without sharing credentials.
Full Stack Engineer,Web Security,Hard,How do you secure APIs against common attacks?,"By implementing authentication, input validation, HTTPS, rate limiting, logging, and monitoring."
Full Stack Engineer,DevOps Basics,Medium,What is blue-green deployment?,"Blue-green deployment uses two identical environments where one serves traffic while the other is updated, reducing downtime."
Full Stack Engineer,DevOps Basics,Hard,How does infrastructure as code improve deployment reliability?,"It automates infrastructure provisioning using version-controlled scripts, ensuring reproducibility and consistency."
Full Stack Engineer,API Design & Integration,Medium,How do you handle third-party API failures?,"By implementing retries with backoff, circuit breakers, timeouts, and fallback mechanisms."
Full Stack Engineer,API Design & Integration,Hard,What is HATEOAS in REST?,HATEOAS allows clients to navigate APIs dynamically via hypermedia links provided in responses.
Full Stack Engineer,Performance Optimization,Medium,How can backend performance be improved?,"Through query optimization, indexing, caching, load balancing, and asynchronous processing."
Full Stack Engineer,Performance Optimization,Hard,How would you identify a bottleneck in a distributed system?,"By analyzing metrics, logs, tracing requests, monitoring CPU/memory usage, and measuring latency across services."
Full Stack Engineer,Frontend Fundamentals,Medium,What is hydration in server-side rendering?,"Hydration attaches event listeners to server-rendered HTML, making it interactive on the client side."
Full Stack Engineer,Backend Development,Hard,What is the difference between synchronous and asynchronous APIs?,"Synchronous APIs block until a response is returned, while asynchronous APIs allow non-blocking execution and improve scalability."
Full Stack Engineer,Database Design,Medium,What is a composite index?,"A composite index includes multiple columns, improving query performance when filtering on those columns together."
Full Stack Engineer,System Design Basics,Hard,How does a CDN improve performance?,"A CDN caches static assets across geographically distributed servers, reducing latency and server load."
Full Stack Engineer,Web Security,Medium,Why enforce HTTPS everywhere?,"HTTPS encrypts communication, protecting data integrity and preventing man-in-the-middle attacks."
Full Stack Engineer,DevOps Basics,Medium,What is container orchestration?,"Container orchestration manages container deployment, scaling, and networking automatically using tools like Kubernetes."
Full Stack Engineer,API Design & Integration,Medium,How do you design APIs for backward compatibility?,"By avoiding breaking changes, versioning endpoints, and supporting legacy fields until clients migrate."
Full Stack Engineer,Performance Optimization,Hard,What is lazy loading and where can it be applied?,"Lazy loading defers loading non-critical resources until needed, applied to images, components, or API data."
Full Stack Engineer,Frontend Fundamentals,Easy,Why is component reusability important in frontend architecture?,"Reusable components reduce duplication, improve maintainability, and enforce consistent UI and behavior across the application."
Full Stack Engineer,Frontend Fundamentals,Medium,"In a scenario where global state updates frequently, how would you minimize performance impact?","By splitting state into smaller slices, using selectors, memoization, and avoiding unnecessary subscriptions to prevent full-tree re-renders."
Full Stack Engineer,Frontend Fundamentals,Hard,What are potential drawbacks of excessive client-side rendering?,"Slower initial load time, SEO limitations, and performance issues on low-powered devices due to heavy JavaScript execution."
Full Stack Engineer,Backend Development,Medium,What is the difference between stateless and stateful services?,"Stateless services do not store client session data between requests, improving scalability, while stateful services maintain session information."
Full Stack Engineer,Backend Development,Hard,How would you design a logging strategy for a production backend system?,"By implementing structured logging, centralized log aggregation, log levels, correlation IDs, and monitoring alerts for critical errors."
Full Stack Engineer,Database Design,Medium,What are database transactions and why are they important?,"Transactions ensure atomicity, consistency, isolation, and durability, maintaining data integrity during concurrent operations."
Full Stack Engineer,Database Design,Hard,How would you design a database schema for high write throughput?,"By minimizing indexes, optimizing partitioning, using horizontal scaling, and avoiding heavy relational joins."
Full Stack Engineer,System Design Basics,Medium,What is a message queue and when would you use it?,"A message queue enables asynchronous communication between services, useful for decoupling components and handling background tasks."
Full Stack Engineer,System Design Basics,Hard,How does microservices architecture improve scalability?,"Microservices allow independent deployment and scaling of individual services, reducing bottlenecks and improving flexibility."
Full Stack Engineer,Web Security,Medium,What is the principle of least privilege?,It ensures users and systems have only the minimum access necessary to perform required tasks.
Full Stack Engineer,Web Security,Hard,How do you securely manage secrets in a production system?,"By using environment variables, secret managers, encryption, and restricting access via role-based controls."
Full Stack Engineer,DevOps Basics,Medium,"What is the purpose of environment separation (dev, staging, production)?",It ensures safe testing and validation before deploying changes to live users.
Full Stack Engineer,DevOps Basics,Hard,How would you minimize downtime during deployment?,"By using rolling updates, blue-green deployment, health checks, and automated rollback strategies."
Full Stack Engineer,API Design & Integration,Medium,What is pagination and why is it necessary?,"Pagination limits large result sets into manageable chunks, improving performance and user experience."
Full Stack Engineer,API Design & Integration,Hard,How do you ensure secure communication between microservices?,"By using HTTPS, mutual TLS authentication, API gateways, and internal network isolation."
Full Stack Engineer,Performance Optimization,Medium,How does database connection pooling improve performance?,"Connection pooling reuses existing database connections instead of creating new ones for every request, reducing latency."
Full Stack Engineer,Performance Optimization,Hard,What is backpressure and why is it important?,Backpressure controls data flow between systems to prevent overload and maintain stability in distributed architectures.
Full Stack Engineer,System Design Basics,Hard,How would you design a URL shortener for scalability?,"By using hash-based unique IDs, distributed databases, caching for frequent lookups, and load-balanced stateless services."
Full Stack Engineer,Database Design,Medium,What is database sharding?,Sharding distributes data across multiple database instances to improve scalability and performance.
Full Stack Engineer,Frontend Fundamentals,Medium,Why is accessibility important in frontend development?,Accessibility ensures applications are usable by people with disabilities and improves overall user experience and compliance.
Full Stack Engineer,Web Security,Medium,What is Content Security Policy (CSP)?,"CSP is a security mechanism that restricts resource loading to trusted sources, mitigating XSS attacks."
Full Stack Engineer,Backend Development,Medium,What is API gateway and why is it used?,"An API gateway acts as a single entry point for clients, handling routing, authentication, logging, and rate limiting."
Full Stack Engineer,DevOps Basics,Medium,Why is monitoring important in production systems?,"Monitoring detects issues early, tracks performance metrics, and ensures system reliability."
Full Stack Engineer,Performance Optimization,Medium,How can HTTP caching improve application performance?,"HTTP caching stores responses in browsers or proxies, reducing repeated network requests and server load."
Full Stack Engineer,API Design & Integration,Medium,What is idempotency key in APIs?,"An idempotency key ensures that repeated requests produce the same result, preventing duplicate operations."
Full Stack Engineer,System Design Basics,Medium,What is fault tolerance?,Fault tolerance ensures a system continues functioning even when components fail.
Full Stack Engineer,Database Design,Hard,How do read replicas improve performance?,"Read replicas distribute read queries across multiple database instances, reducing load on the primary database."
Full Stack Engineer,Frontend Fundamentals,Hard,How does server-side rendering improve SEO?,"Server-side rendering delivers pre-rendered HTML to search engines, improving crawlability and page indexing."
Full Stack Engineer,Web Security,Hard,What is token expiration and why is it necessary?,"Token expiration limits the lifespan of authentication tokens, reducing risk if a token is compromised."
Full Stack Engineer,Frontend Fundamentals,Medium,How do you manage side effects in React applications?,"By using hooks like useEffect to handle asynchronous calls, subscriptions, and cleanup logic while keeping rendering logic pure."
Full Stack Engineer,Frontend Fundamentals,Hard,"What are trade-offs between CSR, SSR, and SSG?",CSR offers rich interactivity but slower initial load; SSR improves SEO and first paint but adds server overhead; SSG provides fast static delivery but less dynamic flexibility.
Full Stack Engineer,Backend Development,Medium,How do you design error handling in REST APIs?,"By returning standardized HTTP status codes, structured error responses, meaningful messages, and avoiding sensitive information exposure."
Full Stack Engineer,Backend Development,Hard,How would you design a multi-tenant backend system?,"By isolating tenant data via separate schemas or tenant IDs, enforcing strict access control, and ensuring scalability through logical partitioning."
Full Stack Engineer,Database Design,Medium,What are trade-offs between relational and document databases?,"Relational databases provide strong consistency and structured queries, while document databases offer flexible schemas and horizontal scalability."
Full Stack Engineer,Database Design,Hard,How do you handle database locking in high concurrency systems?,"By using appropriate isolation levels, minimizing transaction duration, and applying optimistic locking where possible."
Full Stack Engineer,System Design Basics,Medium,What is a reverse proxy and why is it used?,"A reverse proxy forwards client requests to backend servers, improving security, load distribution, and caching."
Full Stack Engineer,System Design Basics,Hard,How do you design for high availability?,"By eliminating single points of failure, implementing redundancy, load balancing, failover mechanisms, and monitoring."
Full Stack Engineer,Web Security,Medium,What is role-based access control (RBAC)?,"RBAC restricts system access based on user roles, ensuring users only perform permitted actions."
Full Stack Engineer,Web Security,Hard,How do you prevent SQL injection attacks?,"By using parameterized queries, prepared statements, input validation, and ORM frameworks."
Full Stack Engineer,DevOps Basics,Medium,What is rolling deployment?,"Rolling deployment updates instances gradually, reducing downtime and allowing monitoring during rollout."
Full Stack Engineer,DevOps Basics,Hard,How do you implement automated rollback in CI/CD pipelines?,"By defining health checks, monitoring failure thresholds, and automatically reverting to the previous stable build."
Full Stack Engineer,API Design & Integration,Medium,What is API throttling?,API throttling limits request rates to maintain stability and prevent abuse.
Full Stack Engineer,API Design & Integration,Hard,How do you design APIs for mobile-first applications?,"By minimizing payload size, supporting pagination, optimizing response formats, and ensuring low latency."
Full Stack Engineer,Performance Optimization,Medium,What is tree shaking in frontend builds?,"Tree shaking removes unused code from bundles, reducing application size."
Full Stack Engineer,Performance Optimization,Hard,How would you analyze slow database queries?,"By reviewing execution plans, checking index usage, analyzing query patterns, and monitoring database metrics."
Full Stack Engineer,Frontend Fundamentals,Medium,What is the purpose of virtual DOM?,The virtual DOM minimizes direct DOM manipulations by computing diffs and applying efficient updates.
Full Stack Engineer,Backend Development,Medium,What is stateless authentication?,Stateless authentication verifies user identity using tokens without storing session data on the server.
Full Stack Engineer,Database Design,Medium,What is ACID in databases?,"ACID ensures reliable transactions through Atomicity, Consistency, Isolation, and Durability."
Full Stack Engineer,System Design Basics,Medium,What is autoscaling?,Autoscaling automatically adjusts system resources based on traffic demand.
Full Stack Engineer,Web Security,Medium,What is secure cookie flag?,The secure flag ensures cookies are transmitted only over HTTPS connections.
Full Stack Engineer,DevOps Basics,Medium,Why use health checks in deployments?,Health checks verify service readiness and prevent routing traffic to unhealthy instances.
